változtatási képesség;merkúr;
viszonyítás;merkúr;
álmatlanság (attól fél ha elalszik meghal);merkúr(ikerk);
mozgásszerv;merkúr
izület;merkúr
idegrendszer;merkúr
neuronok;merkúr
közvetítés;merkúr
látás = külvilággal való kapcsolat = párkapcsolat;merkúr
bénulás;merkúr
idegek;merkúr
stressz = alkalmazkodási probléma;merkúr;
pánikbetegség;merkúr
szaglás elvesztése;merkúr
ujjak;merkúr
fül;merkúr
váll;merkúr
csukó;merkúr
légzőszervek;merkúr
tüdőgyulladás = otthon a családban probléma;hold
bélrendszer = olyan élethelyzetek ahol elfolytunk dolgokat;merkúr
vékonybél = ráció elfolytása;merkúr
vékonybél;merkúr;nem akar szembenézni a problémával =
migrénse görcs;merkúr;alárendeltség;csuklóhoz kötni kulcsot = képes vagyok elfogadni az alárendeltséget
alergia;uránusz
vastagbél;;érzelmi elfolytás;
végbél;merúr;anyagiak elengedése;
óra;merkúr szaturnusz;zavar a ketyegés
vendégségben másikat zavarja az én órám;merkúr;
középen beledugós ágynemű;jupiter neptun

ha kapod a markurt, a jupitert hozod létre
ha a zsebedbe teszed a merukrt akor csokkenti
a vizsgazonak a merkurbol van elege








